,Product,Price,Status
71,"Laptop Apple MacBook Air 13 ecran Retina, procesor Intel® Core™ i5 1.6GHz, 8GB, 128GB SSD, Intel UHD Graphics 617, Silver, INT KB",5.59999 Lei,în stoc
72,"Laptop Ultraportabil Lenovo ideapad S540-14IML cu procesor Intel Core i7-10510U pana la 4.90 GHz Comet Lake, 14"", Full HD, IPS, 8GB, 512GB SSD, Intel UHD Graphics Free DOS, Abyss Blue",3.29999 Lei,în stoc
73,"Laptop Dell Inspiron 3580 cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, Whiskey Lake, 15.6"", Full HD, 8GB, 1TB, AMD Radeon 520 2GB, Linux, Black",2.19999 Lei,în stoc
74,"Laptop ultraportabil Lenovo Ideapad S340-14API cu procesor AMD Ryzen 3 3200U pana la 3.5 GHz, 14"", Full HD, 4GB, 128GB SSD M.2, AMD Radeon Vega 3, Windows 10 Home S, Platinum Grey",1.64999 Lei,în stoc
75,"Laptop Gaming Acer Predator Helios 700 PH717-71 cu procesor Intel® Core™ i7-9750H pana la 4.5 GHz, 17.3"", Full HD, IPS, 144Hz, 16GB, 1TB SSD, GeForce RTX 2080 8GB, Windows 10 Home, Abyssal Black",14.99999 Lei,în stoc
76,"Laptop Dell Inspiron 3583 cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, Whiskey Lake, 15.6"", Full HD, 4GB, 1TB, AMD Radeon 520 2GB, Linux, Black",1.99999 Lei,în stoc
77,"Laptop HP 15-ra060nq cu procesor Intel® Celeron® N3060 pana la 2.48 GHz, 15.6"", 4GB, 500GB, DVD-RW, Intel® HD Graphics 400, FreeDOS, Black",99999 Lei,în stoc
78,"Laptop Dell Inspiron 3583 cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz Whiskey Lake, 15.6"", Full HD, 16GB, 512GB SSD, Intel UHD Graphics, Ubuntu, Black",3.19999 Lei,în stoc
79,"Laptop Dell Inspiron 3593 cu procesor Intel® Core™ i7-1065G7 pana la 3.90 GHz Ice Lake, 15.6"", Full HD, 8GB, 256GB SSD, NVIDIA GeForce MX230 2GB, Ubuntu, Black",3.09999 Lei,în stoc
80,"Laptop Dell Inspiron 3583 cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 256GB SSD, AMD Radeon 520 2GB, Linux, Black",2.79999 Lei,în stoc
81,"Laptop Lenovo Ideapad S145-15IWL cu procesor Intel® Core i3-8145U pana la 3.90 GHz, 15.6"", HD, 4GB, 128GB SSD M.2, Intel UHD Graphics 620, Windows 10 Home S, Grey",1.59999 Lei,în stoc
82,"Laptop Gaming MSI GF63 Thin 9RCX-865XRO cu procesor Intel® Core™ i5-9300H pana la 4.10 GHz Coffe Lake Refresh, 15.6"", Full HD, IPS, 8GB, 256GB SSD, nVidia GeForce GTX 1050 Ti 4GB, Free DOS, Black",3.19999 Lei,în stoc
83,"Laptop gaming ASUS ROG Strix Hero III G531GV cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", Full HD, IPS, 240Hz, 16GB, 512GB SSD, NVIDIA® GeForce RTX™ 2060 6GB, Free DOS, Midnight Black",6.79999 Lei,ultimele 3 produse
84,"Laptop Lenovo Ideapad S145-15IWL cu procesor Intel Core i3-8145U pana la 3.9 GHz, 15.6"", Full HD, 4GB, 256GB SSD M.2, Intel UHD Graphics 620, Free DOS, Grey",1.59999 Lei,în stoc
85,"Laptop HP 15-da1013nq cu procesor Intel® Core™ i3-8145U pana la 3.90 GHz, 15.6"", Full HD, 8GB, 256GB SSD, Intel UHD Graphics, Free DOS, Jet black",1.69999 Lei,în stoc
86,"Laptop ultraportabil ASUS VivoBook S15 S531FA cu procesor Intel® Core™ i5-8265U pana la 3.9 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 256GB SSD M.2, Intel UHD Graphics 620, Free DOS, Cobalt Blue",2.69999 Lei,în stoc
